epoch,poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - _step,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - test poison acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - test poison acc (after fedavg)
2007,207,90.62500 ,100.00000 
2008,208,91.01563 ,100.00000 
2009,209,91.79688 ,100.00000 
2010,210,88.67188 ,100.00000 
2011,211,89.45313 ,100.00000 
2012,212,87.69531 ,100.00000 
2013,213,87.69531 ,100.00000 
2014,214,88.67188 ,100.00000 
2015,215,88.86719 ,100.00000 
2016,216,89.64844 ,100.00000 
2017,217,90.62500 ,100.00000 
2018,218,90.03906 ,100.00000 
2019,219,90.03906 ,100.00000 
2020,220,89.84375 ,100.00000 
2021,221,90.03906 ,100.00000 
2022,222,88.86719 ,100.00000 
2023,223,91.21094 ,100.00000 
2024,224,88.08594 ,100.00000 
2025,225,87.89063 ,100.00000 
2026,226,87.50000 ,100.00000 
2027,227,87.10938 ,100.00000 
2028,228,86.91406 ,100.00000 
2029,229,88.28125 ,100.00000 
2030,230,88.28125 ,100.00000 
2031,231,87.50000 ,100.00000 
2032,232,86.32813 ,100.00000 
2033,233,86.52344 ,100.00000 
2034,234,86.32813 ,100.00000 
2035,235,87.50000 ,100.00000 
2036,236,87.10938 ,100.00000 
2037,237,87.69531 ,100.00000 
2038,238,89.45313 ,100.00000 
2039,239,86.91406 ,100.00000 
2040,240,88.67188 ,100.00000 
2041,241,88.28125 ,100.00000 
2042,242,87.50000 ,100.00000 
2043,243,88.86719 ,100.00000 
2044,244,88.67188 ,100.00000 
2045,245,86.91406 ,100.00000 
2046,246,86.52344 ,100.00000 
2047,247,88.47656 ,100.00000 
2048,248,87.50000 ,100.00000 
2049,249,87.50000 ,100.00000 
2050,250,87.10938 ,100.00000 
2051,251,87.69531 ,99.41406 
